season,view,situation,pa,ab,h,1b,2b,3b,hr,tb,rbi,so,bb,hbp,sac,sf,roe,avg,obp,slg,ops
Maple Tree Tappers Summer 2025,game_state,Bases loaded,14,11,8,4,1,2,1,16,22,0,1,0,0,2,0,0.727,0.643,1.455,2.097
Maple Tree Tappers Summer 2025,game_state,Wins,102,96,51,42,4,5,0,65,35,2,5,0,0,1,0,0.531,0.549,0.677,1.226
Maple Tree Tappers Summer 2025,game_state,Scoring position,148,135,69,48,10,7,4,105,91,4,8,0,0,5,0,0.511,0.52,0.778,1.298
Maple Tree Tappers Summer 2025,game_state,Lead off inning,74,71,36,30,4,1,1,45,1,0,3,0,0,0,0,0.507,0.527,0.634,1.161
Maple Tree Tappers Summer 2025,game_state,Leading,105,99,48,40,5,2,1,60,36,1,5,0,0,1,0,0.485,0.505,0.606,1.111
Maple Tree Tappers Summer 2025,game_state,0 outs,145,135,64,54,6,3,1,79,20,3,8,0,0,2,0,0.474,0.497,0.585,1.082
Maple Tree Tappers Summer 2025,game_state,1 out,131,121,55,46,6,1,2,69,35,7,7,0,0,3,0,0.455,0.473,0.57,1.044
Maple Tree Tappers Summer 2025,game_state,Runners on,257,236,107,82,12,8,5,150,98,8,16,0,0,5,0,0.453,0.479,0.636,1.114
Maple Tree Tappers Summer 2025,game_state,Trailing,202,188,85,64,10,5,6,123,49,5,11,0,0,3,0,0.452,0.475,0.654,1.13
Maple Tree Tappers Summer 2025,game_state,Bases empty,139,134,60,48,7,3,2,79,2,3,5,0,0,0,0,0.448,0.468,0.59,1.057
Maple Tree Tappers Summer 2025,game_state,Losses,276,256,112,84,15,6,7,160,65,8,16,0,0,4,0,0.438,0.464,0.625,1.089
Maple Tree Tappers Summer 2025,game_state,2 outs,120,114,48,30,7,7,4,81,45,1,6,0,0,0,0,0.421,0.45,0.711,1.161
Maple Tree Tappers Summer 2025,game_state,Tied game,89,83,34,26,4,4,0,46,15,5,5,0,0,1,0,0.41,0.438,0.554,0.992
Maple Tree Tappers Summer 2025,game_state,Ties,18,18,4,4,0,0,0,4,0,1,0,0,0,0,0,0.222,0.222,0.222,0.444
Maple Tree Tappers Summer 2025,batted_balls,Line drive,118,118,95,72,11,9,3,133,56,0,0,0,0,0,0,0.805,0.805,1.127,1.932
Maple Tree Tappers Summer 2025,batted_balls,Hard ground ball,19,19,14,13,0,1,0,16,8,0,0,0,0,0,0,0.737,0.737,0.842,1.579
Maple Tree Tappers Summer 2025,batted_balls,Ground ball,100,100,30,29,1,0,0,31,12,0,0,0,0,0,0,0.3,0.3,0.31,0.61
Maple Tree Tappers Summer 2025,batted_balls,Fly ball,116,111,26,14,7,1,4,47,21,0,0,0,0,5,0,0.234,0.224,0.423,0.648
Maple Tree Tappers Summer 2025,batted_balls,Pop fly,10,10,1,1,0,0,0,1,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2
Maple Tree Fall 2025,game_state,Wins,143,121,71,46,13,4,8,116,61,1,18,0,0,4,0,0.587,0.622,0.959,1.581
Maple Tree Fall 2025,game_state,0 outs,186,168,95,60,17,6,12,160,55,8,14,0,0,4,0,0.565,0.586,0.952,1.538
